company,totalyearlycompensation,yearsofexperience,yearsatcompany,gender,Race,Education
Amazon,186000,2,0,Male,Asian,Bachelor's Degree
Amazon,175000,0,0,Male,Asian,Master's Degree
Google,198000,4,1,Male,White,Bachelor's Degree
Google,487000,10,8,Male,Asian,Bachelor's Degree
Facebook,214000,5,0,Female,Asian,Bachelor's Degree
Amazon,345000,25,0,Male,Asian,Master's Degree
Facebook,631000,22,0,Male,White,Bachelor's Degree
Microsoft,239000,16,8,Male,White,Bachelor's Degree
Microsoft,237000,15,4,Male,White,Master's Degree
Amazon,180000,10,3,Male,White,Bachelor's Degree
Amazon,246000,7,1,Male,Asian,Master's Degree
Amazon,121000,2,2,Male,Asian,Master's Degree
Microsoft,223000,4,4,Male,White,Bachelor's Degree
Amazon,87000,3,0,Male,White,Master's Degree
Apple,304000,4,0,Male,Asian,Master's Degree
Microsoft,136000,2,0,Male,Hispanic,Bachelor's Degree
Microsoft,167000,5,5,Male,White,Master's Degree
Google,113000,10,2,Female,White,Master's Degree
Google,584000,16,7,Female,Asian,Master's Degree
Apple,191000,8,1,Male,White,Bachelor's Degree
Amazon,380000,8,0,Male,Hispanic,Bachelor's Degree
Facebook,395000,8,0,Male,Hispanic,Bachelor's Degree
Apple,400000,8,0,Male,Hispanic,Bachelor's Degree
Facebook,267000,5,2,Male,White,Bachelor's Degree
Apple,420000,15,5,Male,Asian,Bachelor's Degree
Amazon,789000,15,2,Male,White,Bachelor's Degree
Microsoft,270000,8,1,Male,White,Highschool
Microsoft,111000,10,0,Male,White,Master's Degree
Google,324000,15,6,Male,White,PhD
Amazon,143000,1,1,Male,Asian,Master's Degree
Microsoft,190000,15,8,Male,Asian,Master's Degree
